Text,Compound,Positive,Negative,Neutral,sentiment
nice beach trip,0.4215,0.583,0.0,0.417,positive
Good,0.4404,1.0,0.0,0.0,positive
nice place waterfall over rest parking area rb enter rb,0.4215,0.237,0.0,0.763,positive
toro waterfall complete with prayer room facilities toilets food stalls sometimes open sometimes close easy natural tourism highways subject to parking r r spacious parking comfortable,0.8271,0.274,0.0,0.726,positive
"look cool, the food is delicious",0.7184,0.6,0.0,0.4,positive
quite beautiful,0.6361,0.807,0.0,0.193,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
beautiful nice,0.7717,1.0,0.0,0.0,positive
beautiful place easy access there,0.7783,0.694,0.0,0.306,positive
bagus natural waterfall,0.3612,0.556,0.0,0.444,positive
beautiful nice,0.7717,1.0,0.0,0.0,positive
okay place pencil easy to reach,0.5994,0.663,0.0,0.337,positive
Good,0.4404,1.0,0.0,0.0,positive
solid,0.1531,1.0,0.0,0.0,positive
a beautiful view suitable for a low-cost waterfall holiday city,0.765,0.452,0.0,0.548,positive
calm beautiful suitable couple hehehe take the world's beautiful fish on holiday,0.9153,0.615,0.0,0.385,positive
nice place,0.4215,0.737,0.0,0.263,positive
beautiful waterfalls north madura island tourist attraction photos,0.7845,0.535,0.0,0.465,positive
nice place,0.4215,0.737,0.0,0.263,positive
"on the madura visit list, it's rare, waterfalls go directly to the sea, nice to enjoy the afternoon, enjoy the sunset, put your visiting list madura rare",0.8481,0.277,0.0,0.723,positive
love nature suitable after rain please be careful,0.7964,0.618,0.0,0.382,positive
good ebb and flow of the rainy season murky water,0.3818,0.238,0.107,0.656,positive
easy access quite clean area clear water waterfall right next seaside bagus place for photographs chill beach with running waterfall behind gratis only fee for parking available toilet bathroom mushola with praying equipment inside qur mukena sarung etc,0.8874,0.274,0.0,0.726,positive
manage for free manage the mosque parking toilet cafe,0.5106,0.292,0.0,0.708,positive
quite beautiful,0.6361,0.807,0.0,0.193,positive
clean water,0.4019,0.73,0.0,0.27,positive
suitable tours like refreshing photos,0.3612,0.385,0.0,0.615,positive
really really good,0.5379,0.634,0.0,0.366,positive
