,kata,vector
0,great,-0.0006174826
1,"view,",-0.00055220246
2,really,-0.00066140725
3,"nice,",-0.00037545335
4,beautiful,-0.00062798394
5,waterfall,-0.00049761415
6,directly,-0.00030798398
7,to,-0.00062336057
8,the,-0.0006932193
9,beach,-0.0006283848
10,good,-0.0006085954
11,"view,",-0.00055220246
12,"clean,",-0.00029076744
13,pretty,-0.00055261294
14,good,-0.0006085954
15,smg,-0.00012031448
16,level,-0.0001754874
17,with,-0.00053927174
18,good,-0.0006085954
19,"facilities,",-0.00054414925
20,competitive,-0.00015937639
21,with,-0.00053927174
22,tourism,-0.0006579975
23,What,-0.0005546989
24,rubbish,-0.0005802663
25,are,-0.0006749714
26,you,-0.00058563903
27,disappointed?,-0.00052748184
28,although,-0.0005547565
29,distance,-0.00062821014
30,from,-0.00071464037
31,surabaya,-0.0006594263
32,here,-0.0007493223
33,god,-0.0007262843
34,damn,-0.0007386156
35,around,-0.0007748208
36,kilometers,-0.00062179373
37,but,-0.0004736106
38,believe,-0.0006020224
39,that,-0.00054816925
40,worth,-0.00053785014
41,waterfall,-0.00049761415
42,drop,-0.00034092047
43,directly,-0.00030798398
44,into,-0.0002452471
45,sea,-0.00034458647
46,unique,-0.00036465342
47,but,-0.0004736106
48,remember,-0.00047096945
49,can,-0.00047359022
50,swim,-0.00048980734
51,hole,-0.00050027145
52,below,-0.0005300536
53,waterfall,-0.00049761415
54,really,-0.00066140725
55,good,-0.0006085954
56,for,-0.0009612242
57,relaxing,-0.0003814406
58,sea,-0.00034458647
59,photo,-0.0006030458
60,spots,-0.00074144127
61,difficult,-0.0005038642
62,sea,-0.00034458647
63,fall,-0.00037135725
64,waterfall,-0.00049761415
65,Good,1.0686244e-05
66,the,-0.0006932193
67,flow,-0.00057924696
68,of,-0.0007271348
69,the,-0.0006932193
70,waterfall,-0.00049761415
71,is,-0.00072052394
72,really,-0.00066140725
73,fast,-0.00055139925
74,in,-0.0008231309
75,the,-0.0006932193
76,rainy,-0.00086138904
77,season,-0.0007269008
78,nice,-0.00053872087
79,disappointed,-0.00050820265
80,there,-0.00055227126
81,on,-0.0006978999
82,the,-0.0006932193
83,madura,-0.00079906225
84,visit,-0.0006737987
85,"list,",-0.00033750516
86,it's,-0.00079310907
87,"rare,",-0.00029836217
88,waterfalls,-0.0007815801
89,go,-0.0005188362
90,directly,-0.00030798398
91,to,-0.00062336057
92,the,-0.0006932193
93,"sea,",-0.0005160155
94,nice,-0.00053872087
95,to,-0.00062336057
96,enjoy,-0.0005925323
97,the,-0.0006932193
98,"afternoon,",-0.0005207806
99,enjoy,-0.0005925323
100,the,-0.0006932193
101,"sunset,",-0.0003486722
102,put,-0.0006481541
103,your,-0.00078047666
104,visiting,-0.000545997
105,list,-0.00034931416
106,madura,-0.00079906225
107,rare,-0.0005429372
108,Satisfied,-0.00021270096
109,parking,-0.00073691865
110,is,-0.00072052394
111,expensive,-0.00045764993
112,criticism,2.5673587e-06
113,place,-0.0005874934
114,flood,-0.0006419428
115,sad,-0.0006216885
116,nice,-0.00053872087
117,horror,-0.00061024056
118,advice,-0.0008409283
119,rainy,-0.00086138904
120,season,-0.0007269008
121,sunset,-0.0006472509
122,waterfall,-0.00049761415
123,beach,-0.0006283848
124,Good,1.0686244e-05
125,pay,-0.0009178245
